date,product_id,category,demand,stock_level,safety_stock,reorder_point,lead_time,criticality,unit_cost,supplier_id,batch_number,expiry_date,storage_temp
2024-01-01,1,Emergency,164,712,214,429,2,4,232.8208634354083,3,B202401-8286,2024-07-13,2-8°C
2024-01-02,1,Emergency,85,627,214,429,2,4,623.4152037400619,1,B202401-3399,2025-08-11,2-8°C
2024-01-03,1,Emergency,164,463,214,429,1,4,880.6480923512992,4,B202401-8227,2025-01-28,Room Temp
2024-01-04,1,Emergency,96,715,214,429,1,4,785.663556194325,5,B202401-2926,2025-06-05,-20°C
2024-01-05,1,Emergency,142,573,214,429,2,4,989.8998708810776,4,B202401-9927,2025-07-24,-20°C
2024-01-06,1,Emergency,94,479,214,429,1,4,770.003666714634,5,B202401-9073,2025-06-01,2-8°C
2024-01-07,1,Emergency,147,715,214,429,2,4,298.4418802988913,4,B202401-8031,2025-03-10,-20°C
2024-01-08,1,Emergency,191,524,214,429,1,4,801.7584408578387,2,B202401-2984,2025-04-11,-20°C
2024-01-09,1,Emergency,138,715,214,429,1,4,256.87244780008507,4,B202401-8915,2025-10-20,Room Temp
2024-01-10,1,Emergency,146,569,214,429,1,4,754.9535124021069,3,B202401-7229,2025-01-19,2-8°C
2024-01-11,1,Emergency,193,715,214,429,2,4,18.986345686809642,1,B202401-8156,2025-02-23,Room Temp
2024-01-12,1,Emergency,229,486,214,429,1,4,630.6609153652867,2,B202401-5974,2025-05-09,Room Temp
2024-01-13,1,Emergency,181,715,214,429,2,4,556.2473764622771,2,B202401-1747,2025-03-06,2-8°C
2024-01-14,1,Emergency,151,564,214,429,2,4,512.5198378215546,5,B202401-9013,2024-07-20,2-8°C
2024-01-15,1,Emergency,206,715,214,429,1,4,984.7955852820475,2,B202401-7230,2025-11-01,Room Temp
2024-01-16,1,Emergency,192,523,214,429,2,4,102.76254515461231,2,B202401-9201,2024-09-29,2-8°C
2024-01-17,1,Emergency,147,715,214,429,2,4,245.4359516662691,4,B202401-4678,2025-10-25,2-8°C
2024-01-18,1,Emergency,93,622,214,429,2,4,770.6295978967883,2,B202401-4188,2026-01-09,2-8°C
2024-01-19,1,Emergency,106,516,214,429,2,4,734.3704314608095,5,B202401-2700,2025-03-10,2-8°C
2024-01-20,1,Emergency,122,715,214,429,2,4,182.69916278992002,4,B202401-6104,2025-08-27,Room Temp
2024-01-21,1,Emergency,141,574,214,429,1,4,613.4617138584141,3,B202401-8416,2024-10-18,Room Temp
2024-01-22,1,Emergency,205,715,214,429,1,4,396.9883987421321,3,B202401-5018,2025-06-28,Room Temp
2024-01-23,1,Emergency,275,440,214,429,1,4,971.6499414433832,2,B202401-5722,2025-04-13,Room Temp
2024-01-24,1,Emergency,145,715,214,429,1,4,790.1565822456217,4,B202401-9328,2025-06-09,-20°C
2024-01-25,1,Emergency,178,537,214,429,2,4,719.192325033801,5,B202401-8893,2024-11-04,2-8°C
2024-01-26,1,Emergency,174,715,214,429,1,4,457.453789477495,3,B202401-9679,2025-05-10,-20°C
2024-01-27,1,Emergency,95,620,214,429,1,4,287.08501355582723,2,B202401-9269,2025-10-24,2-8°C
2024-01-28,1,Emergency,176,444,214,429,1,4,677.3051750241783,1,B202401-7210,2025-09-19,-20°C
2024-01-29,1,Emergency,207,715,214,429,1,4,217.66396719623253,4,B202401-9352,2025-09-01,Room Temp
2024-01-30,1,Emergency,206,509,214,429,2,4,831.7429758945444,5,B202401-3212,2024-09-16,Room Temp
2024-01-31,1,Emergency,110,715,214,429,1,4,819.2208706158119,3,B202401-2235,2025-04-10,2-8°C
2024-02-01,1,Emergency,135,580,214,429,2,4,977.0020154523361,1,B202402-2465,2025-03-06,Room Temp
2024-02-02,1,Emergency,151,429,214,429,1,4,861.3452462192851,5,B202402-6161,2025-05-25,Room Temp
2024-02-03,1,Emergency,39,715,214,429,1,4,169.202895964676,1,B202402-7628,2025-07-01,2-8°C
2024-02-04,1,Emergency,182,533,214,429,1,4,862.8692356846307,2,B202402-9876,2025-11-29,-20°C
2024-02-05,1,Emergency,205,715,214,429,2,4,598.5551747563379,3,B202402-1433,2025-03-05,2-8°C
2024-02-06,1,Emergency,117,598,214,429,1,4,764.199491058321,2,B202402-4176,2025-09-27,2-8°C
2024-02-07,1,Emergency,240,715,214,429,2,4,636.8417508437557,3,B202402-3049,2025-07-26,-20°C
2024-02-08,1,Emergency,190,525,214,429,2,4,319.36459625659256,1,B202402-2531,2024-10-10,2-8°C
2024-02-09,1,Emergency,242,715,214,429,2,4,329.80774776466956,2,B202402-8741,2025-08-21,2-8°C
2024-02-10,1,Emergency,100,615,214,429,2,4,999.8025616347547,5,B202402-1468,2025-07-12,Room Temp
2024-02-11,1,Emergency,126,489,214,429,1,4,265.7127056377399,1,B202402-8094,2025-04-13,2-8°C
2024-02-12,1,Emergency,246,715,214,429,2,4,179.1290150316128,3,B202402-5232,2025-12-01,Room Temp
2024-02-13,1,Emergency,194,521,214,429,2,4,282.2324448451891,2,B202402-6156,2025-08-19,2-8°C
2024-02-14,1,Emergency,258,715,214,429,1,4,315.15747285984395,1,B202402-7082,2025-02-21,Room Temp
2024-02-15,1,Emergency,64,651,214,429,2,4,225.2324419902397,1,B202402-6614,2024-11-05,Room Temp
2024-02-16,1,Emergency,169,482,214,429,1,4,380.80314219394285,5,B202402-7738,2026-01-07,2-8°C
2024-02-17,1,Emergency,201,715,214,429,2,4,719.845826102358,3,B202402-5695,2025-10-05,-20°C
2024-02-18,1,Emergency,125,590,214,429,1,4,810.3066888392465,3,B202402-6437,2024-08-30,-20°C
2024-02-19,1,Emergency,234,715,214,429,1,4,882.4200325276361,1,B202402-7086,2025-04-07,2-8°C
2024-02-20,1,Emergency,222,493,214,429,2,4,153.75088602489743,1,B202402-7749,2025-07-04,Room Temp
